4526|Gissing, George
42968|Haeckel, Ernst
44888|Flandrau, Charles Macomb
41794|Shiel, M. P. (Matthew Phipps)
43273|Waley, Arthur
46804|Various
43128|Molesworth, Mrs.
42252|Lindsay, Vachel
41199|Le Queux, William
43911|Miller, Alex. McVeigh, Mrs.
46834|LeConte, Joseph
4328|Sturt, Charles
40042|Wirt, Mildred A. (Mildred Augustine)
44463|Holt, Emily Sarah
4165|Pepys, Samuel
40745|Dostoyevsky, Fyodor
41889|Kendall, Ralph S. (Ralph Selwood)
446|Irving, H. B. (Henry Brodribb)
44370|Hanguillart, André Godefroy Lionel
46926|Phillpotts, Eden
41830|Vose, Edward Neville
4206|Lane, Franklin K.
40009|Various
42174|Moodie, Susanna
49332|Moore, Thomas
41855|Wharton, Edith
44484|Brereton, F. S. (Frederick Sadleir)
41250|Campbell, Joseph
43229|unknown
49460|Wylie, I. A. R. (Ida Alexa Ross)
44294|Snell, Roy J. (Roy Judson)
45523|Harkins, E. F. (Edward Francis)
41095|Madison, James
44672|Aimard, Gustave
40890|Van Alstyne, Lawrence
41505|Hervey, Walter Lowrie
40105|Chadwick, Lester
43671|Creighton, Charles
4098|Hill, Frederick Trevor
42461|Young, Clarence
49526|Roberts, B. H. (Brigham Henry)
41225|Kock, Paul de
49901|Smith, Richard Rein
40919|Scoville, Samuel
46688|Dean, Graham M.
48648|May, Sophie
45003|Graves, Charles L. (Charles Larcom)
43528|Various
41357|Balfour, Francis M. (Francis Maitland)
44099|Anonymous
42671|Austen, Jane
47014|Marks, Harry F.
4801|Motley, John Lothrop
44866|Hearn, Lafcadio
43198|Farjeon, B. L. (Benjamin Leopold)
47220|Tilden, Samuel J. (Samuel Jones)
43246|Home, Gordon
46680|unknown
41896|Rockwood, Roy
40155|Limburg Brouwer, P. A. S. van (Petrus Abraham Samuel)
42382|Wallace, Dillon
40468|Various
47315|Campbell, R. W.
40998|Le Queux, William
43491|Morley, Sylvanus Griswold
44177|Drake, Samuel Adams
46178|Tracy, Louis
48644|Anderson, Ada Woodruff
42290|unknown
41649|Tyler, John M. (John Mason)
42057|Ellis, Edward Sylvester
47004|Thompson, C. J. S. (Charles John Samuel)
4677|Adams, F. Colburn (Francis Colburn)
4229|Amundsen, Roald
43716|Aimard, Gustave
41524|Comins, Elizabeth B. (Elizabeth Barker)
42551|González de Mendoza, Juan
4828|Motley, John Lothrop
42763|Pemberton, Max
41308|Gibbs, Philip
43151|Peard, Frances Mary
4247|Harriot, Thomas
46813|Whishaw, Frederick
44630|Lagerlöf, Selma
4585|Curwood, James Oliver
43325|Hocking, Silas K. (Silas Kitto)
42164|Jones, Rufus M. (Rufus Matthew)
45370|unknown
42734|Various
41295|Various
