43755|17|11172|5
44559|18|41226|4
46247|20|33043|4
43989|22|71561|4
44599|16|14366|4
43930|22|27780|4
43206|16|4157|4
46048|16|78684|4
4426|15|153365|4
40146|13|80738|4
45888|18|45167|4
40340|15|89125|4
43126|15|40490|4
42390|18|121253|4
43647|21|47965|4
41597|15|126917|4
41510|20|46092|4
45920|16|70651|4
40127|23|19207|4
45810|19|67076|4
45198|21|29605|4
43235|9|58552|4
40719|17|66838|4
41118|19|35618|4
43727|29|53839|4
41493|16|143870|4
4939|16|78547|4
48034|14|45137|4
4516|20|123463|4
41141|16|73389|4
43858|7|14199|5
41366|18|58413|4
45230|19|116281|4
455|14|39882|4
41061|19|50055|4
44292|11|181091|4
43934|18|27733|4
49870|16|31493|4
43411|16|169718|4
44913|28|62332|4
48208|18|32817|4
41339|21|55673|4
47274|12|26277|4
44659|14|61510|4
40672|16|86416|4
44438|6|288365|5
48778|17|45241|4
4306|20|116372|4
412|15|8221|4
43607|23|80643|4
40480|17|128331|4
40283|18|38475|4
40125|21|75593|4
41229|18|68868|4
43969|10|26649|4
42167|18|44947|4
4929|14|74338|4
44133|22|45836|4
4399|21|4181|4
46234|22|21212|4
485|19|41044|4
45038|19|185897|4
46369|18|83057|4
43138|16|88910|4
42223|23|32909|4
41387|19|85031|4
43407|27|92078|4
41278|19|38294|4
43569|14|11839|4
40838|18|88235|4
44263|11|77546|4
43351|17|68563|4
40918|19|69972|5
45237|25|49251|4
45097|24|62224|4
43628|21|100436|4
45839|18|162438|4
46806|14|11583|4
48258|17|104310|4
40569|16|44459|4
4187|25|17612|4
41068|16|64570|5
42936|17|71807|5
45106|17|118003|4
49282|20|42765|4
45785|21|125853|4
4432|16|23119|4
40665|23|134292|5
43880|15|256543|4
40578|22|12839|4
42681|19|80804|4
40509|14|10833|4
43847|14|134603|4
40431|27|46502|4
4000|21|1438783|4
44701|18|33218|4
40823|23|37326|4
43522|24|91636|4
44445|21|61959|4
40596|19|106179|4
45859|28|83791|4
43514|18|31138|4
41432|20|27191|4
45577|17|55678|4
46798|21|72639|4
44185|14|35916|4
44819|17|83257|4
48990|16|42251|4
4147|24|14372|4
40992|10|12377|4
46661|12|168539|4
41233|33|202604|4
42580|19|117725|4
45356|27|133948|4
42829|23|82528|4
45495|22|126144|4
47105|16|106867|4
47165|17|70207|4
41249|16|69899|4
40973|13|58306|4
41292|17|81875|4
41861|14|34812|4
42863|13|65338|4
40954|13|5807|5
41729|15|48645|4
46895|17|11964|4
4639|22|15585|5
40517|19|104751|4
42284|14|84708|4
42737|24|28187|4
